word	count	source_files
11atetrahydro1	2	2
11b	11	2
11bdihydrobenz	1	1
11bdihydroindeno	2	2
11bdimethyltetradecahydro8	2	2
11benzyl7	1	1
11beta	17	2
11beta17	2	1
11betadehydrogenase	3	1
11betahydroxy	1	1
11betahydroxylase	2	1
11betahydroxylating	1	1
11betahydroxyprogesterone	4	2
11betahydroxysteroid	28	3
11betamonooxygenase	5	3
11billion	2	1
11cis	37	3
11cis13transicosatetraenoate	3	1
11cis3	1	1
11cis3hydroxyretinal	1	1
11cisretinal	9	2
11cisretinol	15	2
11cisretinyl	2	1
11cisretinylpalmitate	4	2
11cistransisomerase	2	1
11cla	1	1
11coupled	10	6
11dehydrothromboxane	1	1
11delta7	3	1
11demethyl17deacetylvindoline	1	1
11deoxycorticosterone	21	3
11deoxycortisol	5	2
11dien5alpha	1	1
11dien5alphaol	5	1
11dien5alphayl	6	1
11diene	14	4
11diene5	4	2
11diene5α	1	1
11dieneforming	2	1
11dienoate	1	1
11dienoateforming	1	1
11dienoic	3	2
11dihydro2	9	3
11dihydro5	3	2
11dihydro6methyl5	1	1
11dihydrodibenzo	2	2
11dihydroxy10	2	2
11dihydroxy5methoxy10	1	1
11dihydroxy8methyl5oxo5	2	2
11dimethyl1	2	2
11dioxo1	4	1
11e	12	3
11eicosatriyenoic	1	1
11eicosatriynoic	1	1
11endoperoxidase	1	1
11endoperoxide	1	1
11epiprostaglandin	1	1
11epoxidizing	4	3
11epoxy3	3	1
11epoxy3geranylgeranylindole	1	1
11eti	1	1
11h	9	3
11hdipyridol	1	1
11hexahydrotetracen1yl	2	1
11hexamethyl8	6	3
11hydroperoxyoctadeca9	1	1
11hydroxy3	3	3
11hydroxy8	2	2
11hydroxyjasmonate	7	3
11hydroxyjasmonic	1	1
11hydroxylase	8	3
11hydroxylaurate	1	1
11hydroxythromboxane	4	2
11icosatriynoic	1	1
11ka4	6	3
11keto	3	1
11ketoandrostenedione	6	3
11ketoreductase	10	3
11ketotestosterone	12	3
11lipoxygenase	4	3
11mediated	1	1
11methanooxireno	2	2
11methyl	5	2
11methyl1	7	2
11methyldodec2enoate	3	3
11methyldodec2enoic	4	2
11methyldodec2enoyl	2	1
11methyltransferase	1	1
11november	15	3
11octadecenoic	1	1
11odemethyl17odeacetylvindoline	5	2
11ohja	1	1
11omethyltransferase	2	1
11oxidase	4	3
11oxidoreductase	2	1
11oxo	6	3
11oxoandrostenedione	6	3
11oxobetaamyrin	27	3
11oxododecahydro2	2	2
11oxosteroid	5	1
11plus	8	3
11pound	8	3
11px	20	1
11r	13	2
11reductase	3	1
11s	5	1
11song	12	3
11soxidoreductase	1	1
11stranded	1	1
11tetraene	3	2
11tetraoxatetradecan14amide	2	2
11tetrazatricyclo	1	1
11th	1250	6
11thcentury	20	3
11thlargest	98	3
11thleast	18	3
11thmost	68	3
11thsmallest	16	3
11time	12	3
11trans	1	1
11transoctadecadienoate	1	1
11tridecatetraene	3	1
11trien16yl	1	1
11trihydroxy8	1	1
11triinsäure	1	1
11trimethyl1	2	1
11trimethyl2	3	1
11trimethyl8methylidenebicyclo	2	2
11trimethyldodeca2	3	3
11trimethyltrideca2	3	1
11triyl	3	1
11triynoic	3	3
11x	2	1
11yearold	2	1
11z	66	4
11zeicosatrienoyl	1	1
11α	4	3
11αhydroxy	4	3
11β	10	2
11βhsd1	2	1
11βhsd2	2	1
1200aa	2	1
1200s	12	3
120mile	6	3
120th	22	3
12171c	2	1
12181d	2	1
121media	6	3
121st	12	3
1228a	1	1
122nd	24	3
124th	24	3
1250s	12	3
125acre	6	3
125kilometrewide	6	3
125th	16	3
12a	28	3
12acylhydrolase	1	1
12aldehyde	6	3
12alpha	71	4
12alphadihydroxy3oxochol4en24oate	1	1
12alphadihydroxy3oxochol4enoate	2	1
12alphadihydroxy4cholesten3	1	1
12alphadihydroxy7oxo	1	1
12alphadihydroxycholest4en3one	1	1
12alphahydroxy	1	1
12alphahydroxy3oxochola4	2	1
12alphahydroxylase	12	3
12alphahydroxysteroid	5	1
12alphatrihydroxy24oxo5betacholestan26oylcoa	1	1
12alphatrihydroxy5alphacholan24yl	1	1
12alphatrihydroxy5betacholan24oylglycine	2	1
12alphatrihydroxy5betacholanate	1	1
12alphatrihydroxy5betacholanoylcoa	1	1
12alphatrihydroxy5betacholest24enoylcoa	4	2
12alphatrihydroxy5betacholest24enoylcoaforming	1	1
12alphatrihydroxy5betacholestan26al	3	1
12alphatrihydroxy5betacholestan26oate	3	1
12alphatrihydroxy5betacholestan26oyl	1	1
12alphatrihydroxy5betacholestan26oylcoa	2	1
12alphatrihydroxy5betacholestanate	4	1
12alphatrihydroxy5betacholestanatecoa	2	1
12alphatrihydroxy5betacholestanoatecoa	4	1
12alphatrihydroxy5betacholestanoyl	2	1
12alphatrihydroxy5betacholestanoylcoa	6	3
12alphatrihydroxycholestan26al	7	3
12alphatriol	3	1
12aoctahydrotetracene2carboxamide	2	1
12apentahydroxy6methyl1	2	1
12as	2	1
12atetradecahydro2	2	2
12b	7	2
12beta	4	1
12betahydroxy	1	1
12betahydroxysteroid	5	2
12betatrihydroxy5betacholanate	2	1
12bis	9	3
12boctahydro8methoxyα	1	1
12br	1	1
12bromdodecansäure	1	1
12bromo1dodecanoic	1	1
12bromododecanoic	2	2
12bromolauric	1	1
12c	78	4
12carbon	2	1
12cishexadecadienoic	1	1
12cisoctadecadienoic	1	1
12co	1	1
12dehydrotetracycline	1	1
12deltalipoxygenase	1	1
12demethylelloramycin	5	3
12diacetoxy9oxo12αprosta5	3	3
12dien6ynoyl	1	1
12diene	1	1
12dieneforming	1	1
12dienoate	6	1
12dienoic	7	3
12dienoyl	2	1
12dihydrodiol	6	3
12dihydroxanthommatin	2	1
12dihydroxy4methoxy10methyl5oxo7	2	2
12dihydroxybenzo	1	1
12dihydroxyicosa6	1	1
12dioxygenase	5	3
12e	2	1
12em	2	1
12epoxidase	4	3
12epoxide	1	1
12epoxy5z	1	1
12epoxy8hydroxyicosa5	4	1
12epoxyeicosatrienoic	1	1
12epoxygenase	5	3
12ester	1	1
12ethyl10	1	1
12ethyl10hydroxy5methoxy10	1	1
12foot	6	3
12gon	2	1
12h2o	24	3
12hour	58	3
12hourclock	6	3
12hydrolase	1	1
12hydroperoxyicosa5	2	1
12hydroxy	4	3
12hydroxy9octadecenoic	1	1
12hydroxy9octadecensäure	1	1
12hydroxycis9octadecenoic	1	1
12hydroxydehydrogenase	1	1
12hydroxydihydrochelirubine	6	2
12hydroxyelaidic	1	1
12hydroxyheptadecatrienoic	4	2
12hydroxyjasmonate	7	3
12hydroxyjasmonic	1	1
12hydroxyjasmonoylisoleucine	1	1
12hydroxylase	9	3
12hydroxylating	2	1
12hydroxyoctadec9	1	1
12hydroxyoctadec9enoic	8	2
12hydroxyoleic	1	1
12hydroxyoleoyl	1	1
12inch	2	1
12ins1pcer	24	1
12k	1	1
12kda	1	1
12lipoxygenase	1	1
12methyl	1	1
12methylmutase	1	1
12methyltetradecanoic	3	2
12methyltetradecansäure	2	1
12metre	2	1
12mile	36	3
12monooxygenase	12	3
12month	14	4
12mta	1	1
12myristate	10	3
12naphthacenedione	1	1
12nm	3	1
12note	1	1
12octadecadienoate	5	2
12octadecadienoateforming	1	1
12octadecadienoic	4	1
12octadecatrienoate	1	1
12octadienoico	1	1
12oh	2	1
12ohja	1	1
12ohjasmonic	1	1
12omethyltransferase	4	2
12ounce	2	1
12oxidoreductase	3	1
12oxo9zdodecenoic	1	1
12oxododec9enoic	2	2
12oxoleukotriene	1	1
12oxophyto10	2	1
12oxophytodienoate	4	2
12oxophytodienoic	3	1
12p35	1	1
12p40	1	1
12part	6	3
12pentamethyl6a	2	2
12px	20	1
12r	10	1
12s	9	2
12s5z	2	1
12saturated	2	1
12sepoxy5z	1	1
12shpete	1	1
12slipoxygenase	1	1
12specific	1	1
12string	6	3
12teta	1	1
12tetradecanoate	2	1
12th	1382	6
12thcentury	78	3
12thlargest	42	3
12thleast	18	3
12thmost	18	3
12thsmallest	12	3
12time	12	3
12tone	4	1
12tonemusic	12	3
12tonesystem	12	3
12trans16	5	3
12trien1yl	7	3
12trihydroxy10methoxy6	1	1
12trihydroxy3	1	1
12trihydroxy5betacholestanoylcoa	1	1
12trihydroxycholestan26oylcoa	1	1
12trihydroxycholestane26thioate	1	1
12trihydroxycoprostanoylcoa	1	1
12trihydroxyeicosa5	1	1
12trihydroxyicosa5	4	3
12trihydroxyoctadec9enoate	3	3
12trimethyl1	3	1
12trimethyltrideca1	3	2
12trimethyltridecanoylcoa	3	1
12trimethyltridecanoyltransferase	2	1
12volt	2	1
12yearold	6	3
12z	39	2
12zoctadecadienoic	1	1
12zoctadecadienoyloxy	1	1
12α	23	6
12αtrihydroxy5βcholan24oic	6	3
12αtrihydroxy5βcholestan26oyl	2	2
12αtrihydroxy5βcholestan26oylcoenzyme	1	1
12αtrihydroxy5βcholestanoyl	1	1
12αtrihydroxycoprostanoylcoa	1	1
12β	12	3
1300s	24	3
130mile	1	1
130milelong	6	3
130th	16	3
132acre	6	3
132metrehigh	6	3
132nd	12	3
133rd	24	3
1340s	12	3
135th	32	6
1360s	40	3
136ton	6	3
138milelong	6	3
13a	6	3
13acetate	12	3
13ahydroxylase	1	1
13alpha	5	2
13alphadiol	1	1
13alphahydroxylase	5	3
13alphahydroxylating	1	1
13alphahydroxylupanine	1	1
13alphatigloyloxylupanine	1	1
13apobetacarotenone	1	1
13article	6	3
13atetrahydrocolumbamine	1	1
13b	8	5
13bdiazacyclonona	2	2
13beta	12	3
13betadglucosyloxydocosanoate	1	1
13betadglucosyltransferase	2	1
13betaepoxidase	4	3
13betaepoxy16betahydroxybetaamyrin	2	1
13betaepoxybetaamyrin	6	3
13betaglucosyltransferase	3	2
13bis	3	3
13butanoate	1	1
13c	30	3
13cis	1	1
13cmethyltransferase	1	1
13day	12	3
13desoxypaxilline	1	1
13diacetylbaccatin	1	1
13diacylphorbate	1	1
13dibutanoate	1	1
13dien15ol	4	2
13dien15yl	22	3
13dien15yldiphosphate	1	1
13dien18	2	1
13dien18al	7	3
13dien18ol	7	3
13diene	5	3
13diene18al	1	1
13diene18oate	1	1
13dienitol	2	2
13dienoate	17	1
13diester	1	1
13dihydroxydocosa8	4	2
13dihydroxydocosapentaenoate	1	1
13dihydroxydocosapentaenoic	1	1
13dioxa21	5	2
13dioxo7heptadecenoic	8	3
13dioxododecahydro2	2	2
13docosenoic	2	1
13e	32	3
13epoxylabd14ene	1	1
13epoxylabda14ene	3	2
13epoxyoctadeca9	3	1
13ethyl17ethynyl17hydroxy4gonen3one	1	1
13ethyl17ethynyl17hydroxygon4en3one	1	1
13glucosyloxydocosanoate	1	1
13hexachloro10oxapentacyclo	2	2
13hexadecatrienoic	1	1
13hydrolyase	2	1
13hydroperoxyoctadeca9	1	1
13hydroxy	8	1
13hydroxyalphatocopherol	1	1
13hydroxydocosanoate	6	2
13hydroxydocosanoic	1	1
13hydroxylase	3	1
13hydroxylating	1	1
13hydroxylupanine	4	2
13hydroxylupinine	5	3
13lipoxin	3	2
13methylmyristic	1	1
13methyltetradec2enoic	3	2
13monomethyl	3	1
13o	4	3
13octadecatrienoic	4	1
13oxa3azahexacyclo	1	1
13oxidase	2	1
13oxidoreductase	1	1
13part	6	3
13prostaglandin	4	3
13px	14	1
13r	5	1
13reductase	4	2
13s	12	2
13series	11	3
13slipoxygenase	4	3
13sophorosyloxydocosanoate	3	1
